"","number","species","lon","lat","qubit"
"66","AMCC266033","Lampropeltis californiae",-117.95538,35.84938,"39.1"
"67","AMCC266036","Lampropeltis nigra",-87.79094,31.54119,"64.4"
"68","AMCC266037","Lampropeltis nigra",-90.81997,32.11461,"94.8"
"69","AMCC266043","Lampropeltis nigra",-89.06933,33.51001,"0"
"70","AMCC266044","Lampropeltis nigra",-85.61476,33.57377,"33"
"71","AMCC266047","Lampropeltis nigra",-90.442822,30.396667,"37.2"
"72","AMCC266049","Lampropeltis californiae",-112.39355,32.013371,"1.68"
"73","AMCC266053","Lampropeltis californiae",-121.897805,37.837861,"9.6"
"74","AMCC266054","Lampropeltis californiae",-121.768388,37.809972,"0.604"
"75","AMCC266056","Lampropeltis californiae",-122.007555,37.647611,"1.53"
"76","AMCC266057","Lampropeltis californiae",-121.995944,37.641611,"56"
"77","AMCC266061","Lampropeltis holbrooki",-92.284722,29.997778,"37"
"78","AMCC266062","Lampropeltis nigra",-85.11752,34.471979,"34.1"
"79","AMCC266064","Lampropeltis californiae",-111.304284,32.445009,"70.4"
"80","AMCC266066","Lampropeltis nigra",-86.61883,38.35781,"56.8"
"81","AMCC266069","Lampropeltis nigra",-89.11259,37.44518,"54"
"82","AMCC266070","Lampropeltis nigra",-83.70536,37.79277,"24.1"
"83","AMCC266073","Lampropeltis splendida",-106.75237,34.56257,"2.66"
"84","AMCC266075","Lampropeltis splendida",-106.73636,34.62846,"22.5"
"85","AMCC266079","Lampropeltis splendida",-105.18632,24.482546,"0.48"
"86","AMCC266080","Lampropeltis holbrooki",-90.783925,34.780025,"56.4"
"87","AMCC266081","Lampropeltis holbrooki",-92.931732,34.94651,"114"
"88","AMCC266083","Lampropeltis holbrooki",-94.609524,29.735881,"40.4"
"89","AMCC266084","Lampropeltis splendida",-104.6458,30.6125,"0.796"
"90","AMCC266085","Lampropeltis splendida",-105.650526,31.135735,"18.3"
"91","AMCC266086","Lampropeltis nigra",-89.26111,34.62736,"52"
"92","AMCC266092","Lampropeltis splendida",-109.88992,32.60003,"74"
"93","AMCC266094","Lampropeltis splendida",-106.9903,32.53405,"51.6"
"94","AMCC266095","Lampropeltis splendida",-106.93865,32.49825,"27.2"
"95","AMCC266096","Lampropeltis splendida",-108.37973,31.77181,"53.2"
"179","AMCC269716","Lampropeltis californiae",-112.87644,32.47234,"63.6"
"181","AMCC269725","Lampropeltis californiae",-113.9472,33.88179,"30.3"
"203","CAS250608","Lampropeltis getulus californiae",-123.3393333,38.95975,"23.6"
"204","CAS263140","Lampropeltis getulus californiae",-120.8079083,38.36080278,"24.1"
"206","DBS2706","Lampropeltis holbrooki",-94.27754,34.65125,"48.8"
"207","DBS2766","Lampropeltis holbrooki",-91.82035,33.74041,"29"
"209","DBS2868","Lampropeltis holbrooki",-92.35149,32.54999,"60.4"
"212","FHSM11300","Lampropeltis holbrooki",-99.29013,37.28022,"115"
"214","FHSM11506","Lampropeltis holbrooki",-93.6931,38.0442,"119"
"217","FHSM12472","Lampropeltis holbrooki",-95.5707,39.24966,"193"
"224","FHSM13092","Lampropeltis nigra",-88.02024,36.8489,"80.4"
"226","FHSM13623","Lampropeltis getula",-103.2375,30.1648,"52.4"
"229","FHSM13916","Lampropeltis californiae",-109.03442,37.32573,"66.4"
"230","FHSM13917","Lampropeltis holbrooki",-99.0734,34.24914,"76"
"233","FHSM15266","Lampropeltis holbrooki",-96.038053,35.334242,"165"
"237","FHSM15645","Lampropeltis holbrooki",-95.768174,29.793491,"78"
"238","FHSM15709","Lampropeltis holbrooki",-96.26984,37.08374,"44.4"
"249","FHSM7738","Lampropeltis holbrooki",-97.8738,38.7488,"18.2"
"250","FHSM8095","Lampropeltis holbrooki",-100.9725,38.8543,"29.8"
"258","FHSM9855","Lampropeltis holbrooki",-93.18139,36.29194,"1.53"
"259","FHSM9864","Lampropeltis nigra",-85.77472,37.14028,"21.9"
"264","FLMNH151612","Lampropeltis splendida",-104.636871,33.424237,"72"
"270","FLMNH154553","Lampropeltis getula",-83.7977,31.67944,"0"
"271","FLMNH154553","Lampropeltis getula",-83.7977,31.67944,"0"
"272","FLMNH173210","Lampropeltis getula",-83.374,29.524469,"91.6"
"273","FLMNH173933","Lampropeltis getula",-84.568674,30.383751,"46"
"275","KU289566","Lampropeltis getula",-92.02992,32.55354,"50"
"292","LACM187031","Lampropeltis californiae",-115.88835,35.77306,"38.9"
"293","LACM187392","Lampropeltis getula",-118.210861,37.228609,"29.6"
"297","MVZ137799","Lampropeltis getula",-82.2377,32.7824,"75.6"
"299","MVZ175927","Lampropeltis getula",-78.76421,35.72642,"61.6"
"304","OMNH12624","Lampropeltis getula",-97.218056,35.220833,"133"
"317","OMNH5006","Lampropeltis getula",-95.98857,34.46144,"57.2"
"318","OMNH5011","Lampropeltis getula",-94.26482,34.58804,"29.6"
"321","OMNH6115","Lampropeltis getula",-94.82665,35.63826,"114"
"324","OMNH6645","Lampropeltis getula",-99.68006,35.87746,"46.4"
"343","UTEP20919","Lampropeltis getula",-101.1449167,30.99861667,"23.6"
